Date,Value
31-12-57,5.15
31-12-58,5.15
31-12-59,4.23
31-12-60,1.7799
31-12-61,1.6952
31-12-62,3.6322
31-12-63,2.9462
31-12-64,13.3553
31-12-65,9.4748
31-12-66,10.8018
31-12-67,13.0622
31-12-68,3.2374
31-12-69,-0.5841
31-12-70,5.0923
31-12-71,3.0799
31-12-72,6.4421
31-12-73,16.9408
31-12-74,28.5987
31-12-75,5.7484
31-12-76,-7.6339
31-12-77,8.3075
31-12-78,2.523
31-12-79,6.2757
31-12-80,11.3461
31-12-81,13.1125
31-12-82,7.8907
31-12-83,11.8681
31-12-84,8.3189
31-12-85,5.5564
31-12-86,8.7297
31-12-87,8.8011
31-12-88,9.3835
31-12-89,7.0743
31-12-90,8.9712
31-12-91,13.8702
31-12-92,11.7878
31-12-93,6.3269
31-12-94,10.2479
31-12-95,10.2249
31-12-96,8.9772
31-12-97,7.1643
31-12-98,13.2308
31-12-99,4.6698
31-12-00,4.0094
31-12-01,3.7793
31-12-02,4.2972
31-12-03,3.8059
31-12-04,3.7673
31-12-05,4.2463
31-12-06,5.7965
31-12-07,6.3729
31-12-08,8.3493
31-12-09,10.8824
31-12-10,11.9894
31-12-11,8.8584
31-12-12,9.3124
31-12-13,10.9076
31-12-14,6.3532
31-12-15,5.8724
31-12-16,4.941
31-12-17,2.4909
31-12-18,4.8607
31-12-19,4.5
