Date,Value
31-01-1914,2.041
28-02-1914,1.02
31-03-1914,1.02
30-04-1914,0
31-05-1914,2.062
30-06-1914,1.02
31-07-1914,1.01
31-08-1914,3.03
30-09-1914,2
31-10-1914,1
30-11-1914,0.99
31-12-1914,1
31-01-1915,1
28-02-1915,1.01
31-03-1915,0
30-04-1915,2.041
31-05-1915,2.02
30-06-1915,2.02
31-07-1915,1
31-08-1915,-0.98
30-09-1915,-0.98
31-10-1915,0.99
30-11-1915,0.98
31-12-1915,1.98
31-01-1916,2.97
29-02-1916,4
31-03-1916,6.061
30-04-1916,6
31-05-1916,5.941
30-06-1916,6.931
31-07-1916,6.931
31-08-1916,7.921
30-09-1916,9.901
31-10-1916,10.784
30-11-1916,11.65
31-12-1916,12.621
31-01-1917,12.5
28-02-1917,15.385
31-03-1917,14.286
30-04-1917,18.868
31-05-1917,19.626
30-06-1917,20.37
31-07-1917,18.519
31-08-1917,19.266
30-09-1917,19.82
31-10-1917,19.469
30-11-1917,17.391
31-12-1917,18.103
31-01-1918,19.658
28-02-1918,17.5
31-03-1918,16.667
30-04-1918,12.698
31-05-1918,13.281
30-06-1918,13.077
31-07-1918,17.969
31-08-1918,18.462
30-09-1918,18.045
31-10-1918,18.519
30-11-1918,20.741
31-12-1918,20.438
31-01-1919,17.857
28-02-1919,14.894
31-03-1919,17.143
30-04-1919,17.606
31-05-1919,16.552
30-06-1919,14.966
31-07-1919,15.232
31-08-1919,14.935
30-09-1919,13.376
31-10-1919,13.125
30-11-1919,13.497
31-12-1919,14.545
31-01-1920,16.97
29-02-1920,20.37
31-03-1920,20.122
30-04-1920,21.557
31-05-1920,21.893
30-06-1920,23.669
31-07-1920,19.54
31-08-1920,14.689
30-09-1920,12.36
31-10-1920,9.945
30-11-1920,7.027
31-12-1920,2.646
31-01-1921,-1.554
28-02-1921,-5.641
31-03-1921,-7.107
30-04-1921,-10.837
31-05-1921,-14.078
30-06-1921,-15.789
31-07-1921,-14.904
31-08-1921,-12.808
30-09-1921,-12.5
31-10-1921,-12.06
30-11-1921,-12.121
31-12-1921,-10.825
31-01-1922,-11.053
28-02-1922,-8.152
31-03-1922,-8.743
30-04-1922,-7.735
31-05-1922,-5.65
30-06-1922,-5.114
31-07-1922,-5.085
31-08-1922,-6.215
30-09-1922,-5.143
31-10-1922,-4.571
30-11-1922,-3.448
31-12-1922,-2.312
31-01-1923,-0.592
28-02-1923,-0.592
31-03-1923,0.599
30-04-1923,1.198
31-05-1923,1.198
30-06-1923,1.796
31-07-1923,2.381
31-08-1923,3.012
30-09-1923,3.614
31-10-1923,3.593
30-11-1923,2.976
31-12-1923,2.367
31-01-1924,2.976
29-02-1924,2.381
31-03-1924,1.786
30-04-1924,0.592
31-05-1924,0.592
30-06-1924,0
31-07-1924,-0.581
31-08-1924,-0.585
30-09-1924,-0.581
31-10-1924,-0.578
30-11-1924,-0.578
31-12-1924,0
31-01-1925,0
28-02-1925,0
31-03-1925,1.17
30-04-1925,1.176
31-05-1925,1.765
30-06-1925,2.941
31-07-1925,3.509
31-08-1925,4.118
30-09-1925,3.509
31-10-1925,2.907
30-11-1925,4.651
31-12-1925,3.468
31-01-1926,3.468
28-02-1926,4.07
31-03-1926,2.89
30-04-1926,4.07
31-05-1926,2.89
30-06-1926,1.143
31-07-1926,-1.13
31-08-1926,-1.695
30-09-1926,-1.13
31-10-1926,-0.565
30-11-1926,-1.667
31-12-1926,-1.117
31-01-1927,-2.235
28-02-1927,-2.793
31-03-1927,-2.809
30-04-1927,-3.352
31-05-1927,-2.247
30-06-1927,-0.565
31-07-1927,-1.143
31-08-1927,-1.149
30-09-1927,-1.143
31-10-1927,-1.136
30-11-1927,-2.26
31-12-1927,-2.26
31-01-1928,-1.143
29-02-1928,-1.724
31-03-1928,-1.156
30-04-1928,-1.156
31-05-1928,-1.149
30-06-1928,-2.841
31-07-1928,-1.156
31-08-1928,-0.581
30-09-1928,0
31-10-1928,-1.149
30-11-1928,-0.578
31-12-1928,-1.156
31-01-1929,-1.156
28-02-1929,0
31-03-1929,-0.585
30-04-1929,-1.17
31-05-1929,-1.163
30-06-1929,0
31-07-1929,1.17
31-08-1929,1.17
30-09-1929,0
31-10-1929,0.581
30-11-1929,0.581
31-12-1929,0.585
31-01-1930,0
28-02-1930,-0.585
31-03-1930,-0.588
30-04-1930,0.592
31-05-1930,-0.588
30-06-1930,-1.754
31-07-1930,-4.046
31-08-1930,-4.624
30-09-1930,-4.046
31-10-1930,-4.624
30-11-1930,-5.202
31-12-1930,-6.395
31-01-1931,-7.018
28-02-1931,-7.647
31-03-1931,-7.692
30-04-1931,-8.824
31-05-1931,-9.467
30-06-1931,-10.119
31-07-1931,-9.036
31-08-1931,-8.485
30-09-1931,-9.639
31-10-1931,-9.697
30-11-1931,-10.366
31-12-1931,-9.317
31-01-1932,-10.063
29-02-1932,-10.191
31-03-1932,-10.256
30-04-1932,-10.323
31-05-1932,-10.458
30-06-1932,-9.934
31-07-1932,-9.934
31-08-1932,-10.596
30-09-1932,-10.667
31-10-1932,-10.738
30-11-1932,-10.204
31-12-1932,-10.274
31-01-1933,-9.79
28-02-1933,-9.929
31-03-1933,-10
30-04-1933,-9.353
31-05-1933,-8.029
30-06-1933,-6.618
31-07-1933,-3.676
31-08-1933,-2.222
30-09-1933,-1.493
31-10-1933,-0.752
30-11-1933,0
31-12-1933,0.763
31-01-1934,2.326
28-02-1934,4.724
31-03-1934,5.556
30-04-1934,5.556
31-05-1934,5.556
30-06-1934,5.512
31-07-1934,2.29
31-08-1934,1.515
30-09-1934,3.03
31-10-1934,2.273
30-11-1934,2.273
31-12-1934,1.515
31-01-1935,3.03
28-02-1935,3.008
31-03-1935,3.008
